part,title,paragraph
종족,스피드 에너자이저,"스피드 에너자이저 종족은 세상으로부터 오는 다양한 것들에 열려 있으며, '자신이 사랑하는 것이나 관심 있는 일'에 관심을 두고, 그것에 몰두하여 에너지를 쓰는 존재입니다. 또한 당신은 그 에너지를 빠르게 실천으로 옮기는 행동력도 지니고 있습니다. 잠시도 가만히 있지 않고, 계속해서 뭔가를 하는 편인 당신은 빠릿빠릿한 사람입니다. 늘 움직임이 있으며 많은 일들을 해내지만 매우 빠르게 진행하다 보니, 뭔가를 해나가는 과정에서 빠트리거나 놓치기도 합니다. 잘 잊어버리고, 잃어버리기도 하고 '어? 내 지갑 어딨지? 아, 차 열쇠 두고 왔네!! 이게 왜 제대로 안되지?' 하는 편일 수 있습니다. 대부분의 경우에 당신은 자신의 이러한 응답을 알아보기도 전에 일단 이미 행동하고 볼 것입니다. 왜냐하면? 세상 많은 사람들로부터 '주도적으로 생각하고 즉시 행동에 옮겨라!' 라는 말을 들으며 압박감을 느꼈을 것이기 때문입니다. 또한 당신의 그 특유의 빠른 행동력으로 '이거 해야지!' 마음 먹는 동시에 곧장 행동으로 옮기려 하기 때문에 더더욱 기다리는 법이 없습니다. 당신이 이런 Yes하는 반응을 알아보기도 전에 일단 행동으로 나갔던 것, 그 일들에 대한 경험은 당신에게 어떤 느낌으로 남아있습니까? 몸에 활력 에너지가 넘치는 당신, 이것은 엄청나게 강력한 에너지입니다."
종족,스피드 에너자이저,"자신의 결정 방식에 따라 맞게 결정 했느냐, 아니냐에 따라서 당신은 매우 상반된 경험을 할 것입니다. 자기가 원하는 일에 에너지를 쓰며 만족스러운 삶을 사는지, 혹은 다른 사람의 만족을 위해 혹사당하며 만성 피로에 시달리고 좌절에 빠져 있진 않은지 자신이 가장 잘 알 수 있을 것입니다. 이 세상은 에너자이저(스피드 에너자이저를 포함하여) 종족의 사람들이 건설한 곳입니다. 문명의 발전, 도시의 발달은 엄청난 활력 에너지를 통해 발휘된 생산성의 결과물 입니다. 당신은 혹사당하는 노예가 될 수도, 진취적인 건설자가 될 수도 있습니다. 스피드 에너자이저 종족의 어린아이들은 항상 질문을 받아야 합니다. 부모는 아이에게 'Yes or No'로 답할 수 있는 형식으로 질문을 해주어야 합니다."
